sample1,sample2,sample3,sample4,category
3468.469238,6018.166504,-2190.143311,6513.086426,straight
4377.955078,5402.739746,-2429.35498,7297.449707,straight
4692.475098,6222.243652,-2097.414551,7522.694824,straight
4130.319336,6115.806152,-2888.137695,7137.133301,straight
3950.463867,5915.186523,-3171.666992,6937.179688,straight
4301.006348,6450.977539,-2897.82959,7115.099609,straight
3386.892578,7025.506836,-2675.154297,6339.40332,straight
2988.036133,6168.463867,-3050.105225,6040.01709,straight
3678.550537,6362.884277,-2195.37915,6543.323242,straight
3725.727539,6445.351074,-2020.656738,6604.827637,straight
3507.998047,6023.726074,-2195.736328,6561.187012,straight
4326.779785,5404.858398,-2451.515625,7244.449707,straight
4700.939941,6226.190918,-2114.432861,7535.868652,straight
4190.211914,6147.020996,-2865.505615,7197.676758,straight
3927.042725,5920.914063,-3161.631104,6906.806152,straight
4274.11084,6443.806641,-2902.816895,7098.503906,straight
3433.430176,7031.713379,-2664.893799,6372.020996,straight
2983.381836,6176.925293,-3048.289551,6011.449707,straight
3619.035645,6355.503906,-2219.155762,6479.765625,straight
3738.983643,6444.141113,-2013.994141,6620.817871,straight
3529.612793,6028.668457,-2192.088135,6576.48877,straight
4266.958496,5396.542969,-2462.015381,7183.397949,straight
4705.48584,6221.245117,-2123.668457,7520.884766,straight
4214.990723,6135.365723,-2863.626465,7222.608887,straight
3897.114014,5924.390625,-3175.507813,6902.712891,straight
4237.674805,6421.743164,-2932.663086,7052.901367,straight
3472.760742,7028.984863,-2668.897217,6409.100098,straight
2993.975098,6174.601074,-3051.893066,6038.891113,straight
3561.884521,6335.63916,-2231.529053,6435.692871,straight
3755.422363,6444.719238,-2002.02832,6642.70166,straight
3551.111572,6020.494629,-2184.935547,6611.694336,straight
4222.130371,5371.218262,-2474.598389,7158.233887,straight
4702.683105,6199.742676,-2116.052246,7539.79541,straight
4259.504883,6143.240234,-2843.963867,7270.137207,straight
3884.47876,5921.991211,-3162.925049,6885.885254,straight
4210.009277,6416.254883,-2924.212891,7028.373535,straight
